,Marital status,Application mode,Application order,Daytime/evening attendance	,Previous qualification,Mother's qualification,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP
2570,1,1,1,1,1,3,151.0,1,0,1,0,0,18,6,11,6,14.444444444444445,6,6,6,13.333333333333334,-0.92
1664,1,42,1,1,1,19,107.8,1,0,0,1,0,27,6,10,0,0.0,6,8,0,0.0,-4.06
3209,1,1,2,1,1,26,128.6,1,1,1,0,0,19,5,8,4,12.25,5,7,4,12.75,0.32
3353,2,39,1,0,1,38,134.7,0,0,1,0,0,33,5,5,5,12.8,5,6,5,15.333333333333334,1.74
2406,1,1,1,1,1,40,160.1,0,0,1,0,1,19,12,12,12,14.5,11,15,11,13.583333333333334,3.51
1998,1,42,1,1,1,34,128.2,1,0,1,1,0,35,10,12,7,11.285714285714286,8,8,5,13.0,-3.12
1032,1,44,1,1,39,38,150.0,1,0,1,1,0,20,6,8,6,13.125,6,10,6,13.2,-0.92
1383,1,17,3,1,1,1,126.6,0,0,0,0,0,18,5,5,5,10.4,6,13,0,0.0,1.74
1730,1,1,1,1,1,37,138.0,1,0,1,0,0,18,7,7,6,15.2,7,7,6,15.2,0.32
2387,5,39,1,1,19,19,119.4,0,1,0,0,0,27,6,6,0,0.0,6,7,0,0.0,3.51
858,1,17,1,1,1,38,121.7,1,0,1,0,0,18,6,6,2,13.0,6,6,0,0.0,1.79
935,1,1,1,1,1,38,139.1,0,0,1,0,1,19,6,6,6,12.833333333333334,6,6,6,13.5,-0.92
2272,1,7,0,1,3,1,130.0,1,0,1,0,0,23,17,28,17,13.15,12,22,12,13.214285714285714,-4.06
3191,1,7,1,1,3,1,140.0,0,0,1,0,0,30,8,8,7,15.675714285714283,8,8,7,15.675714285714283,1.74
2807,2,43,2,1,1,37,96.0,0,0,0,0,0,29,5,7,3,12.333333333333334,5,8,0,0.0,1.74
735,1,7,1,0,3,37,140.0,0,0,0,0,0,26,5,9,0,0.0,5,10,0,0.0,-3.12
2761,1,1,1,1,1,34,120.4,0,0,0,0,0,21,6,12,2,11.5,6,13,1,13.0,-3.12
2958,1,17,1,1,1,19,119.1,0,1,1,1,0,18,6,6,3,12.666666666666666,6,11,4,11.142857142857142,1.74
2765,1,1,6,1,1,37,120.8,1,0,1,0,0,19,14,22,7,12.192307692307692,14,22,7,12.192307692307692,0.32
1374,1,1,1,1,1,37,123.2,0,0,1,0,0,20,5,8,5,14.166666666666666,5,6,4,11.75,-3.12
2887,1,17,1,1,1,37,134.1,1,0,1,1,0,24,17,19,13,11.642857142857142,17,25,12,11.25,2.02
2145,1,1,4,1,1,3,123.6,1,0,1,1,0,18,5,6,5,12.4,5,9,3,13.0,3.51
1655,1,18,1,1,1,37,126.1,0,0,1,0,1,18,7,9,6,12.333333333333334,7,7,6,12.666666666666666,2.02
1443,1,39,1,1,1,1,120.0,0,1,0,1,0,27,6,0,0,0.0,6,0,0,0.0,0.79
2541,1,17,4,1,1,38,118.3,0,0,1,0,0,19,6,8,4,11.25,6,0,0,0.0,-4.06
3157,1,43,1,0,1,37,107.0,0,0,0,1,0,47,5,5,0,0.0,5,5,0,0.0,-1.7
2493,1,1,1,1,1,38,126.6,1,0,1,0,0,18,6,6,6,12.833333333333334,6,6,6,13.833333333333334,3.51
1618,1,7,1,1,4,3,120.0,1,0,1,0,0,31,12,12,11,13.818181818181818,12,16,12,13.461538461538462,-4.06
2309,1,17,1,1,1,19,113.5,1,0,1,0,0,19,6,8,6,11.333333333333334,6,12,4,13.75,3.51
2277,1,1,1,0,1,37,114.9,0,0,1,0,0,29,11,14,11,12.75,7,7,7,13.428571428571429,-3.12
1882,1,43,1,1,39,2,118.6,0,0,1,1,0,21,11,14,10,12.4,10,13,10,11.8,0.79
2751,1,1,1,1,1,38,131.0,1,0,1,1,1,18,6,7,6,12.714285714285714,6,8,5,11.833333333333334,0.79
3281,2,39,1,0,1,37,126.5,0,0,1,0,0,27,5,5,2,10.5,5,5,0,0.0,0.32
2106,1,1,1,1,1,37,153.8,1,0,1,0,1,20,6,6,6,14.0,6,6,6,13.333333333333334,1.74
1404,1,1,1,1,1,38,156.3,0,0,1,1,1,18,8,8,8,15.63375,8,8,8,15.63375,-3.12
2966,1,1,2,1,1,3,113.8,1,0,1,0,0,21,5,9,3,11.666666666666666,5,9,4,11.75,3.51
2721,2,1,1,0,1,37,135.0,1,0,1,1,0,32,5,5,5,14.8,5,5,5,14.2,0.32
1622,1,17,2,1,1,19,129.4,0,0,1,0,1,19,6,7,5,11.2,6,10,5,13.125,1.74
3603,1,39,1,1,1,38,132.0,1,0,1,0,0,24,5,6,5,12.0,5,5,5,13.0,1.74
2338,2,39,1,0,1,37,121.0,0,0,1,0,0,50,6,8,6,12.666666666666666,6,6,6,11.833333333333334,1.74
1716,1,17,2,1,1,3,133.4,1,0,1,0,0,18,7,8,7,12.5,8,9,7,13.042857142857144,0.79
537,1,39,1,1,1,19,120.0,0,0,1,0,0,25,6,6,0,0.0,6,6,0,0.0,2.02
3425,1,43,1,1,1,38,129.3,1,0,1,0,0,19,8,12,7,12.071428571428571,8,12,7,12.071428571428571,-1.7
3099,1,1,3,1,1,1,142.2,1,0,1,0,1,19,6,6,6,12.833333333333334,6,6,6,12.833333333333334,-3.12
3419,1,1,6,1,1,19,115.9,0,0,1,0,0,18,7,7,7,13.557142857142855,8,9,8,13.2,1.79
345,1,1,1,1,1,2,126.6,0,0,1,0,1,19,7,7,7,12.901428571428571,8,9,8,13.094444444444443,2.02
3180,1,1,2,1,1,19,123.5,1,0,0,1,0,19,6,9,4,12.5,6,6,0,0.0,-3.12
462,1,39,1,1,1,19,118.0,0,0,1,1,0,27,6,7,6,14.0,6,7,6,14.714285714285714,3.51
2814,1,17,6,1,1,19,131.9,1,0,1,0,0,19,7,7,7,13.642857142857142,8,8,8,14.3875,0.79
2520,1,39,1,0,38,1,107.5,0,1,0,1,0,29,6,6,0,0.0,5,5,0,0.0,3.51
619,1,42,1,1,1,37,123.0,1,0,1,0,1,21,8,8,8,13.105,8,8,8,13.105,-3.12
3379,1,1,3,1,1,19,119.4,1,0,1,0,0,20,7,7,7,13.775714285714288,8,8,8,15.599999999999998,1.79
2112,1,1,1,1,1,1,110.0,0,1,1,0,0,23,6,8,6,12.625,6,6,6,14.166666666666666,-1.7
2925,1,17,1,1,1,1,148.7,0,0,1,1,0,18,5,6,5,16.2,5,8,5,16.0,3.51
3396,1,1,1,0,1,38,115.0,1,0,1,0,0,28,6,8,5,12.8,6,8,5,11.0,-3.12
3585,1,1,3,1,1,1,133.9,1,0,1,1,0,19,0,0,0,0.0,0,0,0,0.0,-1.7
3409,1,1,3,1,1,10,135.8,1,0,1,0,0,18,5,6,5,13.333333333333334,5,7,4,14.8,0.32
2745,1,39,1,1,1,37,108.5,0,0,1,1,0,36,7,18,0,0.0,7,7,0,0.0,0.79
3364,2,7,1,1,3,37,130.0,0,0,1,0,0,38,6,17,4,13.75,6,15,6,14.5,-0.92
620,2,39,1,0,19,19,137.2,0,1,0,0,0,32,5,5,0,0.0,5,6,0,0.0,1.74
1445,1,1,1,1,1,38,137.8,1,0,1,1,1,19,0,0,0,0.0,0,0,0,0.0,0.79
607,1,1,1,1,1,19,113.9,1,0,1,1,0,18,6,0,0,0.0,6,0,0,0.0,1.79
3145,1,43,1,1,1,1,123.8,0,0,0,1,0,22,4,4,0,0.0,5,8,3,12.0,1.74
1149,1,51,1,1,1,1,125.0,0,0,1,1,0,22,6,6,0,0.0,6,7,0,0.0,2.02
2833,1,44,1,1,39,37,160.0,0,0,1,0,1,19,6,7,6,15.333333333333334,6,9,6,14.0,-4.06
2644,2,43,1,1,1,37,105.7,1,0,1,0,0,27,8,8,8,13.81375,8,8,8,13.81375,-3.12
