Marital status,Application mode,Application order,Daytime/evening attendance	,Previous qualification,Mother's qualification,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP,Target
1,17,5,1,1,19,127.3,1,0,1,1,0,20,0,0,0,0.0,0,0,0,0.0,1.74,0
1,15,1,1,1,1,142.5,1,0,0,1,0,19,6,6,6,14.0,6,6,6,13.666666666666666,0.79,1
1,1,5,1,1,37,124.8,1,0,0,1,0,19,6,0,0,0.0,6,0,0,0.0,1.74,0
1,17,2,1,1,38,119.6,1,0,1,0,0,20,6,8,6,13.428571428571429,6,10,5,12.4,-3.12,1
2,39,1,0,1,37,141.5,0,0,1,0,0,45,6,9,5,12.333333333333334,6,6,6,13.0,0.79,1
2,39,1,0,19,37,114.8,0,1,1,1,0,50,5,10,5,11.857142857142858,5,17,5,11.5,-0.92,1
1,1,1,1,1,19,128.4,1,0,1,0,1,18,7,9,7,13.3,8,8,8,14.345,-4.06,1
1,18,4,1,1,37,113.1,1,0,0,1,0,22,5,5,0,0.0,5,5,0,0.0,-4.06,0
1,1,3,1,1,1,129.3,0,0,1,0,1,21,6,8,6,13.875,6,7,6,14.142857142857142,-0.92,1
1,1,1,1,1,1,123.0,1,1,0,0,0,18,6,9,5,11.4,6,14,2,13.5,3.51,0
1,1,1,1,1,38,130.6,1,0,1,0,0,18,6,6,6,12.333333333333334,6,7,5,14.2,0.79,1
1,1,1,1,1,19,119.3,1,0,1,0,1,18,8,8,7,13.214285714285714,8,8,7,13.214285714285714,-1.7,1
1,1,2,1,1,19,130.2,1,0,1,0,0,19,6,6,0,0.0,6,0,0,0.0,-1.7,0
1,53,1,1,42,1,111.8,1,0,1,0,1,21,6,7,6,10.571428571428571,6,8,5,11.0,3.51,1
1,1,1,1,1,38,137.1,1,0,1,0,1,18,5,7,4,13.25,5,5,5,12.0,1.74,1
1,1,1,1,1,19,120.7,1,0,1,0,0,20,6,6,5,13.2,6,7,0,0.0,-4.06,0
1,17,2,1,1,19,127.3,1,0,1,0,0,18,7,8,7,13.30625,8,8,8,14.545,-4.06,1
1,1,1,1,1,3,136.3,1,0,1,0,0,20,5,8,4,12.5,5,8,4,12.25,1.74,1
1,1,3,1,1,1,120.3,0,0,1,0,1,21,0,0,0,0.0,0,0,0,0.0,2.02,1
1,1,4,1,1,19,125.5,1,0,1,0,0,18,8,12,7,12.857142857142858,8,12,7,12.857142857142858,-1.7,1
1,1,4,1,1,1,114.9,1,0,1,0,1,19,6,8,6,13.375,6,7,6,12.285714285714286,2.02,1
1,1,1,1,1,19,123.9,0,0,1,0,0,19,7,8,6,13.296666666666669,8,9,7,14.114285714285714,2.02,1
1,17,2,1,1,19,116.4,1,0,1,0,0,21,6,9,6,11.375,6,9,6,13.285714285714286,-0.92,1
1,1,1,1,1,19,122.1,1,0,1,0,0,20,5,6,5,12.0,5,6,5,12.333333333333334,-0.92,1
1,51,1,1,1,42,130.0,1,0,1,1,0,20,6,7,6,12.833333333333334,6,9,4,13.4,3.51,1
1,18,1,0,1,19,134.5,1,0,1,0,0,19,6,6,6,12.666666666666666,6,8,6,14.375,1.79,1
1,1,1,0,1,2,131.4,0,0,1,1,0,34,5,6,5,12.4,5,9,5,13.428571428571429,0.79,1
1,39,1,1,1,38,102.5,0,1,0,1,0,37,7,7,0,0.0,7,7,1,10.0,3.51,0
1,39,1,1,10,34,128.8,1,0,1,1,0,43,5,0,0,0.0,5,0,0,0.0,0.32,0
1,43,1,1,1,37,122.9,0,0,1,0,0,55,5,10,1,10.0,5,8,2,12.0,-0.92,0
4,39,1,0,1,19,113.9,1,0,1,0,0,39,5,8,5,11.0,5,5,5,11.6,0.32,1
1,44,1,1,39,4,120.0,0,1,0,0,0,20,6,13,3,11.666666666666666,6,11,3,12.0,1.79,0
